time,open,high,low,close
1732539600,525.49,529.77,511.56,512
1732543200,512.12,518.42,500,500
1732546800,500.09,524.66,491.91,520.5
1732550400,520.57,529.42,515.51,522.32
1732554000,522.2,522.57,507.36,514.98
1732557600,514.93,529.5,512.75,520.42
1732561200,520.52,542,518.3,537.07
1732564800,537.03,565,531.28,554.82
1732568400,554.85,554.86,531,540.66
1732572000,539.73,553.14,525,541.75
1732575600,541.72,559,541.4,545.54
1732579200,545.47,560.37,541.25,547.89
1732582800,547.71,562,547.46,554.09
1732586400,553.91,559.84,545.74,556.8
1732590000,556.12,559.24,542.84,548.38
1732593600,548.41,550.53,541.07,550.53
1732597200,550.39,574.15,549.68,567.86
1732600800,567.85,567.85,542.16,542.82
1732604400,542.72,547.24,529.12,535.9
1732608000,535.9,537.56,527.85,536.09
1732611600,536.11,541.22,517.24,522.7
1732615200,522.83,526.1,508.87,509.54
1732618800,509.64,519.04,504.19,517.82
1732622400,517.71,538.16,512.6,521.66
1732626000,521.63,524.17,514.06,516.05
1732629600,516.34,533.05,509.25,530.74
1732633200,530.97,540.11,517.11,517.5
1732636800,517.64,536.05,514.98,531.98
1732640400,532.03,534.99,524.35,533.9
1732644000,534.1,539.44,520.15,529.71
1732647600,529.8,541.3,528.38,534.3
1732651200,534.14,560.33,532.84,553.72
1732654800,553.63,560.31,547.2,555.63
1732658400,555.53,569.96,553.53,565.21
1732662000,565.37,569.75,558.22,558.75
1732665600,558.74,569.17,546.89,551.25
1732669200,551.15,570.9,551.04,561.85
1732672800,561.84,563.62,550.47,553.88
1732676400,553.38,560.06,549.12,550.41
1732680000,550.33,565.55,549.5,550.73
1732683600,551.45,553.73,542.3,543.02
1732687200,543.14,560.51,543.11,554.83
1732690800,555.16,562.29,554.36,559.21
1732694400,559.36,573.62,558.75,569.48
1732698000,569.61,569.74,555.62,556.69
1732701600,556.86,574.12,554,568.78
1732705200,568.94,576.75,567.37,572.04
1732708800,572.64,572.93,559.47,562.74
1732712400,562.83,577,562.43,576.94
1732716000,576.9,587.74,572.99,585.49
1732719600,584.94,594,581.33,584.11
1732723200,584.09,588.75,574.56,578.91
1732726800,578.83,581.76,575.26,579.25
1732730400,578.94,585.57,577.24,578.65
1732734000,578.63,580.6,572.55,574.13
1732737600,574.17,587.14,574.17,578.01
1732741200,578,579.86,567.25,570.4
1732744800,570.4,572.32,563.08,566.6
1732748400,566.48,567.94,560.18,560.42
1732752000,560.66,567.09,556.72,565.37
1732755600,565.36,567.36,561.81,565.44
1732759200,565.33,566.98,558.04,559.34
1732762800,559.75,563.28,555,561.58
1732766400,561.36,575.19,558.94,573.94
1732770000,573.46,580,565.49,579.46
1732773600,579.41,580,573.97,574.4
1732777200,574.45,580.48,568.95,571.46
1732780800,572,579.2,569.26,573.08
1732784400,573.12,577.2,568.73,573.58
1732788000,573.85,573.85,563.07,565.45
1732791600,565.03,571.53,560,568.06
1732795200,568.2,573.46,562,566.96
1732798800,565.87,566,553.11,557.68
1732802400,557.68,565.25,555.98,561.64
1732806000,561.56,563.58,551.22,551.67
1732809600,551.71,570,551.46,567.08
1732813200,567.32,591.19,566.38,577.38
1732816800,577.17,586.98,575.6,585.48
1732820400,585.65,589.72,578.71,580.64
1732824000,580.64,584.64,576.22,584.55
1732827600,584.91,609,584.07,603.88
1732831200,602.2,606.39,596.47,602.09
1732834800,601.92,602.26,593.88,595.34
1732838400,595.58,598.99,582.53,585.19
1732842000,585.25,594.55,585.25,588.21
1732845600,588.47,597.1,587.82,595.22
1732849200,595.18,601,591.62,598.98
1732852800,598.86,619.12,597.57,615.92
1732856400,616.19,619.66,610.42,617.65
1732860000,617.26,624,611.5,615.77
